gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
MILR1,1.22947385112088,0.061793927211029054,1.108357753787263,1.350589948454497,1.0,0.0009699543807639123,2,1.22947385112088
VSIG4,1.1551775214769011,0.11876097997879152,0.9224060007184698,1.3879490422353324,1.0,0.021426642270112588,2,1.1551775214769011
FZD5,1.1509014242998585,0.059463700822414554,1.034352570687926,1.267450277911791,1.0,0.00041693219717630443,2,1.1509014242998585
CD36,1.1482170900704116,0.08661559246296427,0.9784505288430017,1.3179836512978216,1.0,0.008260958301134706,2,1.1482170900704116
CCR2,1.145767435781944,0.12289238359620897,0.9048983639333745,1.3866365076305136,1.0,0.02342049676950246,2,1.145767435781944
ASGR2,1.1348435616086119,0.11706966324389163,0.9053870216505843,1.3643001015666394,1.0,0.02063018129235953,2,1.1348435616086119
AQP1,1.1106127519741762,0.0576390417704235,0.9976402301041462,1.2235852738442063,1.0,0.0,2,1.1106127519741762
CRISPLD2,1.1066257017837346,0.0576390417704235,0.9936531799137046,1.2195982236537648,1.0,0.0,2,1.1066257017837346
ANKRD9,1.0913952144165602,0.11374261526842695,0.8684596884904434,1.314330740342677,1.0,0.019096993772769744,2,1.0913952144165602
SIRPD,1.087290821702591,0.08590574677849802,0.9189155580167349,1.2556660853884472,1.0,0.008017374209527183,2,1.087290821702591
PLBD1,1.0790676944128825,0.07599490718677433,0.9301176763268049,1.2280177124989602,1.0,0.00483096863462935,2,1.0790676944128825
PLXDC2,1.0659405181788073,0.12388037953290253,0.8231349742943184,1.3087460620632962,1.0,0.0239074709716943,2,1.0659405181788073
NCSTN,1.062646034768829,0.10562854802360065,0.8556140806425716,1.2696779888950862,1.0,0.015544572118057277,2,1.062646034768829
FAM20C,1.0582081397854528,0.0576390417704235,0.9452356179154228,1.171180661655483,1.0,0.0,2,1.0582081397854528
USP3,1.0359574207753093,0.09110878422089709,0.857384203702351,1.2145306378482676,1.0,0.009850258445279786,2,1.0359574207753093
CPVL,1.0250681317171493,0.08904859276826778,0.8505328898913445,1.199603373542954,1.0,0.009111373553055734,2,1.0250681317171493
MYOF,1.0116243918637944,0.07409737314522925,0.8663935404991451,1.1568552432284438,1.0,0.004266745709899075,2,1.0116243918637944
ERMAP,1.0090561031360905,0.07774496604042946,0.8566759696968488,1.1614362365753323,1.0,0.005364441114590115,2,1.0090561031360905
IRAK3,1.00702361852641,0.0576390417704235,0.89405109665638,1.1199961403964402,1.0,0.0,2,1.00702361852641
PROS1,0.9980257105769648,0.0811476673578815,0.838976282555517,1.1570751385984126,1.0,0.006437574817500906,2,0.9980257105769648
RAB6B,0.9950236343478335,0.07126774401687985,0.855338856074749,1.134708412620918,1.0,0.0034528999043603723,2,0.9950236343478335
LOXL1,0.9950111266795637,0.0597680748644269,0.877865699945287,1.1121565534138405,1.0,0.0004878610237780241,2,0.9950111266795637
