regulation of angiogenesis,regulation of vasculature development,angiogenesis,blood vessel morphogenesis,negative regulation of angiogenesis,negative regulation of vasculature development,negative regulation of blood vessel morphogenesis,blood vessel development
0.6481909106136235,0.6481909106136235,0.7561118106084123,0.7561118106084123,0.7404509454249634,0.7404509454249634,0.7404509454249634,0.7561118106084123
0.5867338132183686,0.5867338132183686,0.5902517234301049,0.5902517234301049,0.3449489574490442,0.3449489574490442,0.3449489574490442,0.5902517234301049
0.09903420445119097,0.09903420445119097,-0.010810508985831349,-0.010810508985831349,0.08656092877692874,0.08656092877692874,0.08656092877692874,-0.010810508985831349
-0.3018033461332656,-0.3018033461332656,-0.24342881579851347,-0.24342881579851347,-0.44249885006252726,-0.44249885006252726,-0.44249885006252726,-0.24342881579851347
0.5698945875423048,0.5698945875423048,0.7019600894396112,0.7019600894396112,0.5677452558035629,0.5677452558035629,0.5677452558035629,0.7019600894396112
-0.6800272960972201,-0.6800272960972201,-0.5124717141877007,-0.5124717141877007,-0.5875233625008749,-0.5875233625008749,-0.5875233625008749,-0.5124717141877007
-1.0925097595055553,-1.0925097595055553,-1.0723169418800285,-1.0723169418800285,-0.7399688972706817,-0.7399688972706817,-0.7399688972706817,-1.0723169418800285
-0.3867479055493182,-0.3867479055493182,-0.3035315047097097,-0.3035315047097097,-0.38119977677831707,-0.38119977677831707,-0.38119977677831707,-0.3035315047097097
-0.06427549673337629,-0.06427549673337629,-0.0920938593667224,-0.0920938593667224,-0.3392728379508857,-0.3392728379508857,-0.3392728379508857,-0.0920938593667224
-0.8622514798788045,-0.8622514798788045,-0.8749527021999561,-0.8749527021999561,-0.8397124721655429,-0.8397124721655429,-0.8397124721655429,-0.8749527021999561
-0.9256402788965588,-0.9256402788965588,-0.9292859585008885,-0.9292859585008885,-0.8786317340026765,-0.8786317340026765,-0.8786317340026765,-0.9292859585008885
-0.23737000492970675,-0.23737000492970675,-0.33934000938644376,-0.33934000938644376,0.25665314214961027,0.25665314214961027,0.25665314214961027,-0.33934000938644376
0.9120675888234513,0.9120675888234513,1.0487406449962766,1.0487406449962766,0.7045814753995597,0.7045814753995597,0.7045814753995597,1.0487406449962766
0.2684852252503675,0.2684852252503675,0.32860191494902763,0.32860191494902763,0.2305037925987975,0.2305037925987975,0.2305037925987975,0.32860191494902763
-0.30184776188205403,-0.30184776188205403,-0.28326072495312016,-0.28326072495312016,-0.31559386511926263,-0.31559386511926263,-0.31559386511926263,-0.28326072495312016
0.32910686440667564,0.32910686440667564,0.23060181229312934,0.23060181229312934,0.5478048363962709,0.5478048363962709,0.5478048363962709,0.23060181229312934
-0.45539888429087344,-0.45539888429087344,-0.5262219059817295,-0.5262219059817295,-0.048562675461526345,-0.048562675461526345,-0.048562675461526345,-0.5262219059817295
0.6031861808071973,0.6031861808071973,0.6038230995350966,0.6038230995350966,0.7878087527283657,0.7878087527283657,0.7878087527283657,0.6038230995350966
0.9248911290779427,0.9248911290779427,1.0824984243997413,1.0824984243997413,0.4861224683327726,0.4861224683327726,0.4861224683327726,1.0824984243997413
-0.17918670270788684,-0.17918670270788684,-0.1307204873421993,-0.1307204873421993,-0.27318480032440573,-0.27318480032440573,-0.27318480032440573,-0.1307204873421993
0.4723858547935353,0.4723858547935353,0.43957201721454264,0.43957201721454264,0.17331319115536636,0.17331319115536636,0.17331319115536636,0.43957201721454264
-0.7492390415204372,-0.7492390415204372,-0.778084897892784,-0.778084897892784,-0.504521184225857,-0.504521184225857,-0.504521184225857,-0.778084897892784
-0.3919401369826429,-0.3919401369826429,-0.47182869400324606,-0.47182869400324606,0.028943067155442925,0.028943067155442925,0.028943067155442925,-0.47182869400324606
-0.5225171890191663,-0.5225171890191663,-0.49150176831909376,-0.49150176831909376,-0.3220663286659371,-0.3220663286659371,-0.3220663286659371,-0.49150176831909376
-0.5041370288971244,-0.5041370288971244,-0.43756149745732065,-0.43756149745732065,-0.28180306092855884,-0.28180306092855884,-0.28180306092855884,-0.43756149745732065
-0.06290056094872588,-0.06290056094872588,-0.16534322297705215,-0.16534322297705215,-0.007298954557086845,-0.007298954557086845,-0.007298954557086845,-0.16534322297705215
-0.29567544750075286,-0.29567544750075286,-0.3133694915530722,-0.3133694915530722,-0.30196120362916146,-0.30196120362916146,-0.30196120362916146,-0.3133694915530722
-0.5765734651941382,-0.5765734651941382,-0.6300858324702422,-0.6300858324702422,-0.7096531764580825,-0.7096531764580825,-0.7096531764580825,-0.6300858324702422
-0.8702778123627697,-0.8702778123627697,-0.8818324157576404,-0.8818324157576404,-0.6348818625553299,-0.6348818625553299,-0.6348818625553299,-0.8818324157576404
-0.602807114079806,-0.602807114079806,-0.6525718172293858,-0.6525718172293858,-0.5862338507389304,-0.5862338507389304,-0.5862338507389304,-0.6525718172293858
-0.19231494882557956,-0.19231494882557956,-0.1832669080077504,-0.1832669080077504,0.16474919930693738,0.16474919930693738,0.16474919930693738,-0.1832669080077504
0.11878171521205233,0.11878171521205233,0.17568729668434982,0.17568729668434982,-0.12210497272495294,-0.12210497272495294,-0.12210497272495294,0.17568729668434982
-0.2702427912185304,-0.2702427912185304,-0.33870481771961797,-0.33870481771961797,0.022176956677676024,0.022176956677676024,0.022176956677676024,-0.33870481771961797
0.2149327529147269,0.2149327529147269,0.34449144446179397,0.34449144446179397,0.28496374760716325,0.28496374760716325,0.28496374760716325,0.34449144446179397
0.08500993438863179,0.08500993438863179,0.18953915298068758,0.18953915298068758,0.19289585568648487,0.19289585568648487,0.19289585568648487,0.18953915298068758
-0.1895151607399633,-0.1895151607399633,-0.2983215715095207,-0.2983215715095207,-0.536582612242999,-0.536582612242999,-0.536582612242999,-0.2983215715095207
-0.8432784716678073,-0.8432784716678073,-0.858690123733387,-0.858690123733387,-0.5862183740941299,-0.5862183740941299,-0.5862183740941299,-0.858690123733387
-0.3608450811219413,-0.3608450811219413,-0.24574743630636137,-0.24574743630636137,-0.7103784207537167,-0.7103784207537167,-0.7103784207537167,-0.24574743630636137
-0.8374962642300048,-0.8374962642300048,-0.8537339459295562,-0.8537339459295562,-0.9370255275613626,-0.9370255275613626,-0.9370255275613626,-0.8537339459295562
-0.3407860507420685,-0.3407860507420685,-0.1673977671932069,-0.1673977671932069,0.029284957387051946,0.029284957387051946,0.029284957387051946,-0.1673977671932069
-0.3670165940722758,-0.3670165940722758,-0.3161125005828015,-0.3161125005828015,0.13045375002020032,0.13045375002020032,0.13045375002020032,-0.3161125005828015
-0.11944806444700613,-0.11944806444700613,-0.23826406040127177,-0.23826406040127177,-0.26994418522418967,-0.26994418522418967,-0.26994418522418967,-0.23826406040127177
-0.21814858811237522,-0.21814858811237522,-0.3228645092573025,-0.3228645092573025,-0.06478279331629268,-0.06478279331629268,-0.06478279331629268,-0.3228645092573025
-0.6366575158656416,-0.6366575158656416,-0.5852133705204331,-0.5852133705204331,-0.8398718318919718,-0.8398718318919718,-0.8398718318919718,-0.5852133705204331
-0.9563747006033291,-0.9563747006033291,-0.9556297485352628,-0.9556297485352628,-0.6850531753300659,-0.6850531753300659,-0.6850531753300659,-0.9556297485352628
-0.29888380951974786,-0.29888380951974786,-0.14994194217875828,-0.14994194217875828,0.1406864036261346,0.1406864036261346,0.1406864036261346,-0.14994194217875828
-0.578851592608893,-0.578851592608893,-0.6320385131114605,-0.6320385131114605,-0.45153363117432593,-0.45153363117432593,-0.45153363117432593,-0.6320385131114605
-0.41236761597787724,-0.41236761597787724,-0.48933796171344696,-0.48933796171344696,-0.1352291105936339,-0.1352291105936339,-0.1352291105936339,-0.48933796171344696
1.236759937118208,1.236759937118208,1.2397175989576028,1.2397175989576028,1.2193866058897047,1.2193866058897047,1.2193866058897047,1.2397175989576028
0.43547386662995846,0.43547386662995846,0.549254973874565,0.549254973874565,0.02508097921030189,0.02508097921030189,0.02508097921030189,0.549254973874565
0.7268689982944744,0.7268689982944744,0.8073971217148389,0.8073971217148389,0.6737427613324898,0.6737427613324898,0.6737427613324898,0.8073971217148389
-0.39295675973546884,-0.39295675973546884,-0.47270008493423976,-0.47270008493423976,-0.19460757109431462,-0.19460757109431462,-0.19460757109431462,-0.47270008493423976
-0.24398831386594758,-0.24398831386594758,-0.07414149908846682,-0.07414149908846682,-0.3518072925794887,-0.3518072925794887,-0.3518072925794887,-0.07414149908846682
0.24751985192073045,0.24751985192073045,0.3959020762941892,0.3959020762941892,-0.11329929831832003,-0.11329929831832003,-0.11329929831832003,0.3959020762941892
0.45039337841972,0.45039337841972,0.5910827590794582,0.5910827590794582,0.30163498588094356,0.30163498588094356,0.30163498588094356,0.5910827590794582
-0.20161056376564698,-0.20161056376564698,-0.18114710871859116,-0.18114710871859116,-0.044685193298809746,-0.044685193298809746,-0.044685193298809746,-0.18114710871859116
-0.32205737948416785,-0.32205737948416785,-0.1738901234838329,-0.1738901234838329,-0.2952754040190916,-0.2952754040190916,-0.2952754040190916,-0.1738901234838329
0.04076702831860415,0.04076702831860415,-0.10093683803074867,-0.10093683803074867,0.4105337424810813,0.4105337424810813,0.4105337424810813,-0.10093683803074867
-0.5021232809077913,-0.5021232809077913,-0.5067657824124924,-0.5067657824124924,-0.8107056247969073,-0.8107056247969073,-0.8107056247969073,-0.5067657824124924
-0.11848717670171337,-0.11848717670171337,-0.04033625289997348,-0.04033625289997348,-0.13926426391624677,-0.13926426391624677,-0.13926426391624677,-0.04033625289997348
-0.5204570515100042,-0.5204570515100042,-0.5819860493124132,-0.5819860493124132,-0.49910331766278826,-0.49910331766278826,-0.49910331766278826,-0.5819860493124132
-0.4221270199951424,-0.4221270199951424,-0.4977031651568172,-0.4977031651568172,-0.33698173498712525,-0.33698173498712525,-0.33698173498712525,-0.4977031651568172
-0.018696838115906864,-0.018696838115906864,0.00606775220974685,0.00606775220974685,-0.06180350400514438,-0.06180350400514438,-0.06180350400514438,0.00606775220974685
-0.31334368002585683,-0.31334368002585683,-0.3010079407245469,-0.3010079407245469,0.2626777578050014,0.2626777578050014,0.2626777578050014,-0.3010079407245469
-0.19476893308659768,-0.19476893308659768,-0.30282480494949304,-0.30282480494949304,0.00945302863589531,0.00945302863589531,0.00945302863589531,-0.30282480494949304
0.8737772389931884,0.8737772389931884,1.0091948673220659,1.0091948673220659,0.4549974437455278,0.4549974437455278,0.4549974437455278,1.0091948673220659
1.0872129849725993,1.0872129849725993,1.1805468621460413,1.1805468621460413,1.024511945279947,1.024511945279947,1.024511945279947,1.1805468621460413
-0.4190480986077421,-0.4190480986077421,-0.4950640896819026,-0.4950640896819026,-0.49539470701701666,-0.49539470701701666,-0.49539470701701666,-0.4950640896819026
0.13187261137477588,0.13187261137477588,-0.022846338268315707,-0.022846338268315707,0.13254882965731768,0.13254882965731768,0.13254882965731768,-0.022846338268315707
0.31779017291559275,0.31779017291559275,0.13651157162381303,0.13651157162381303,0.2590452599944093,0.2590452599944093,0.2590452599944093,0.13651157162381303
0.49167320861436153,0.49167320861436153,0.3412203678685889,0.3412203678685889,0.5866491124956156,0.5866491124956156,0.5866491124956156,0.3412203678685889
0.3686887859638863,0.3686887859638863,0.5536795315593388,0.5536795315593388,0.4649088106864051,0.4649088106864051,0.4649088106864051,0.5536795315593388
0.446130170476802,0.446130170476802,0.5430067724403335,0.5430067724403335,0.5171045973500924,0.5171045973500924,0.5171045973500924,0.5430067724403335
-1.3644164870257693,-1.3644164870257693,-1.3053798511830688,-1.3053798511830688,-1.3309394387890074,-1.3309394387890074,-1.3309394387890074,-1.3053798511830688
0.3531003797062981,0.3531003797062981,0.3844857380481853,0.3844857380481853,0.6544919925651571,0.6544919925651571,0.6544919925651571,0.3844857380481853
-0.01896388433895896,-0.01896388433895896,-0.07866449045456825,-0.07866449045456825,0.340524993447028,0.340524993447028,0.340524993447028,-0.07866449045456825
-0.42064752264575617,-0.42064752264575617,-0.4964350245716288,-0.4964350245716288,-0.34723031145027505,-0.34723031145027505,-0.34723031145027505,-0.4964350245716288
0.5640430063199718,0.5640430063199718,0.6727097942889981,0.6727097942889981,-0.1501624835493775,-0.1501624835493775,-0.1501624835493775,0.6727097942889981
-0.55939500815253,-0.55939500815253,-0.6153614407202923,-0.6153614407202923,-0.3752598084743377,-0.3752598084743377,-0.3752598084743377,-0.6153614407202923
-0.3051950545883555,-0.3051950545883555,-0.39747576623671405,-0.39747576623671405,-0.2544177723582284,-0.2544177723582284,-0.2544177723582284,-0.39747576623671405
-0.35610618326033744,-0.35610618326033744,-0.2903642409972312,-0.2903642409972312,-0.026892175763120807,-0.026892175763120807,-0.026892175763120807,-0.2903642409972312
-0.21406353603269226,-0.21406353603269226,-0.3193630360461455,-0.3193630360461455,-0.32012142884626726,-0.32012142884626726,-0.32012142884626726,-0.3193630360461455
0.9880358040293253,0.9880358040293253,0.9688458711152645,0.9688458711152645,0.9617877957884011,0.9617877957884011,0.9617877957884011,0.9688458711152645
-0.2306680472122212,-0.2306680472122212,-0.33359547420002755,-0.33359547420002755,-0.1360729200540213,-0.1360729200540213,-0.1360729200540213,-0.33359547420002755
0.7765585145984497,0.7765585145984497,0.7917242744248707,0.7917242744248707,0.821480731178107,0.821480731178107,0.821480731178107,0.7917242744248707
0.167935236650636,0.167935236650636,0.21004522314152949,0.21004522314152949,0.4108727341446844,0.4108727341446844,0.4108727341446844,0.21004522314152949
0.782850519194079,0.782850519194079,0.9332722439454928,0.9332722439454928,1.2170965541540348,1.2170965541540348,1.2170965541540348,0.9332722439454928
1.115893773248078,1.115893773248078,1.2482961460983086,1.2482961460983086,0.8846732424429786,0.8846732424429786,0.8846732424429786,1.2482961460983086
0.8575049907002832,0.8575049907002832,0.999436766256745,0.999436766256745,0.725201129251213,0.725201129251213,0.725201129251213,0.999436766256745
0.28055365401880167,0.28055365401880167,0.3860021255123245,0.3860021255123245,0.3807972342718839,0.3807972342718839,0.3807972342718839,0.3860021255123245
-0.03855596904298013,-0.03855596904298013,-0.0981921305902488,-0.0981921305902488,0.01272824711044572,0.01272824711044572,0.01272824711044572,-0.0981921305902488
-0.7900083958811388,-0.7900083958811388,-0.8130300587733856,-0.8130300587733856,-0.5579676814942653,-0.5579676814942653,-0.5579676814942653,-0.8130300587733856
-0.4795723617108762,-0.4795723617108762,-0.5350420140429127,-0.5350420140429127,-0.3158366144956806,-0.3158366144956806,-0.3158366144956806,-0.5350420140429127
0.005121762611546223,0.005121762611546223,0.20062079958541262,0.20062079958541262,-0.37757259539800525,-0.37757259539800525,-0.37757259539800525,0.20062079958541262
-0.6432874775846327,-0.6432874775846327,-0.6872692716620944,-0.6872692716620944,-0.39643770130835265,-0.39643770130835265,-0.39643770130835265,-0.6872692716620944
0.022100592514342373,0.022100592514342373,0.0802852847233561,0.0802852847233561,-0.35757966410884495,-0.35757966410884495,-0.35757966410884495,0.0802852847233561
-0.3900860512198729,-0.3900860512198729,-0.4702394776351575,-0.4702394776351575,-0.42942391768308186,-0.42942391768308186,-0.42942391768308186,-0.4702394776351575
0.20944426363348545,0.20944426363348545,0.043643649382006745,0.043643649382006745,0.18622341232542056,0.18622341232542056,0.18622341232542056,0.043643649382006745
-0.39353795717773304,-0.39353795717773304,-0.4731982541704662,-0.4731982541704662,-0.12374277061001354,-0.12374277061001354,-0.12374277061001354,-0.4731982541704662
0.5864594795650205,0.5864594795650205,0.702007436205616,0.702007436205616,0.4301802986936074,0.4301802986936074,0.4301802986936074,0.702007436205616
-0.39621228432733907,-0.39621228432733907,-0.4754905345844142,-0.4754905345844142,-0.26295547647878725,-0.26295547647878725,-0.26295547647878725,-0.4754905345844142
-0.31938018605033897,-0.31938018605033897,-0.4096344503469856,-0.4096344503469856,-0.44605786215717685,-0.44605786215717685,-0.44605786215717685,-0.4096344503469856
0.4292492900027029,0.4292492900027029,0.4656884528150143,0.4656884528150143,0.21734603528014404,0.21734603528014404,0.21734603528014404,0.4656884528150143
-0.2660101446869085,-0.2660101446869085,-0.3638887006069023,-0.3638887006069023,-0.30286209847442525,-0.30286209847442525,-0.30286209847442525,-0.3638887006069023
0.12137028239849257,0.12137028239849257,-0.007646929655047556,-0.007646929655047556,-0.3118373865420703,-0.3118373865420703,-0.3118373865420703,-0.007646929655047556
-0.00029573943873443625,-0.00029573943873443625,0.30682599124675314,0.30682599124675314,-0.4405880085763849,-0.4405880085763849,-0.4405880085763849,0.30682599124675314
-0.2387225734983548,-0.2387225734983548,-0.12501494213881664,-0.12501494213881664,-1.0547174153665984,-1.0547174153665984,-1.0547174153665984,-0.12501494213881664
-0.3151492657959277,-0.3151492657959277,-0.40600794727177597,-0.40600794727177597,-0.26238827623401667,-0.26238827623401667,-0.26238827623401667,-0.40600794727177597
0.24613964138685132,0.24613964138685132,0.17981786512471354,0.17981786512471354,0.1266546529571005,0.1266546529571005,0.1266546529571005,0.17981786512471354
0.1543999368054432,0.1543999368054432,0.01125672914388416,0.01125672914388416,0.17948630099533336,0.17948630099533336,0.17948630099533336,0.01125672914388416
0.048466310018430124,0.048466310018430124,-0.0943374537166121,-0.0943374537166121,0.17672845088688205,0.17672845088688205,0.17672845088688205,-0.0943374537166121
0.21081016686255927,0.21081016686255927,0.468648190663691,0.468648190663691,0.5741761750316958,0.5741761750316958,0.5741761750316958,0.468648190663691
0.7492082828775578,0.7492082828775578,0.8263242409982329,0.8263242409982329,0.6567199140416304,0.6567199140416304,0.6567199140416304,0.8263242409982329
0.1588760776252697,0.1588760776252697,0.18959930365538727,0.18959930365538727,0.026131955702053657,0.026131955702053657,0.026131955702053657,0.18959930365538727
-0.4857648835437829,-0.4857648835437829,-0.5522499053413661,-0.5522499053413661,-0.6829771787115477,-0.6829771787115477,-0.6829771787115477,-0.5522499053413661
-0.23675314608808293,-0.23675314608808293,-0.3388112732364804,-0.3388112732364804,-0.11980826580587209,-0.11980826580587209,-0.11980826580587209,-0.3388112732364804
-0.08143829052362465,-0.08143829052362465,-0.20568425418123046,-0.20568425418123046,-0.10984456039314935,-0.10984456039314935,-0.10984456039314935,-0.20568425418123046
-0.02656039606553588,-0.02656039606553588,0.0703508141772614,0.0703508141772614,-0.10168663937485664,-0.10168663937485664,-0.10168663937485664,0.0703508141772614
0.5629949391721447,0.5629949391721447,0.45998924065479685,0.45998924065479685,0.7432901162819281,0.7432901162819281,0.7432901162819281,0.45998924065479685
-0.2587618349640323,-0.2587618349640323,-0.35767586370157994,-0.35767586370157994,-0.32244758294968484,-0.32244758294968484,-0.32244758294968484,-0.35767586370157994
1.0188248759052245,1.0188248759052245,1.150238903715445,1.150238903715445,0.7405539937148685,0.7405539937148685,0.7405539937148685,1.150238903715445
-0.0777326654301289,-0.0777326654301289,-0.03542347013023269,-0.03542347013023269,0.042926594187810085,0.042926594187810085,0.042926594187810085,-0.03542347013023269
