,MILR1,VSIG4,FZD5,CD36,CCR2,ASGR2,AQP1,CRISPLD2,ANKRD9,SIRPD,PLBD1,PLXDC2
MILR1,1.0,0.3767621763274533,0.3912102116853391,0.48074849838287387,0.48675980726496665,0.5221442872544059,0.23151175416604508,0.4871479175375679,0.33284460187894654,0.5490054607890722,0.5602798618292226,0.550096147499505
VSIG4,0.3767621763274533,1.0,0.3934630974752137,0.4667709550317232,0.5814784745750682,0.45980959673077065,0.21838454655502298,0.4698617629145229,0.2547755930031755,0.4722116513587523,0.5297813684670332,0.540933622877864
FZD5,0.3912102116853391,0.3934630974752137,1.0,0.47926587830840134,0.42112554785165945,0.3856969197374177,0.5210831972397452,0.46997342065415976,0.5697814302045535,0.4621400347087497,0.48779763789185643,0.547151547131295
CD36,0.48074849838287387,0.4667709550317232,0.47926587830840134,1.0,0.7502052760115289,0.4678040087126796,0.1618337541348883,0.4821504477349233,0.20084178565928143,0.4623610652714506,0.5932239114650942,0.6832153307958021
CCR2,0.48675980726496665,0.5814784745750682,0.42112554785165945,0.7502052760115289,1.0,0.5323156806230886,0.0696806414170914,0.5056821632087303,0.13852236474445007,0.47647789810268676,0.5880671492376406,0.6681709973377924
ASGR2,0.5221442872544059,0.45980959673077065,0.3856969197374177,0.4678040087126796,0.5323156806230886,1.0,0.24079138318533264,0.4718589249961497,0.3210402411388088,0.5064867369977119,0.6152304679765022,0.4509977778266705
AQP1,0.23151175416604508,0.21838454655502298,0.5210831972397452,0.1618337541348883,0.0696806414170914,0.24079138318533264,1.0,0.2731338332617118,0.7322097903145216,0.2583725228530909,0.25682327511547137,0.24323510540583954
CRISPLD2,0.4871479175375679,0.4698617629145229,0.46997342065415976,0.4821504477349233,0.5056821632087303,0.4718589249961497,0.2731338332617118,1.0,0.32887417218543047,0.6224767585876781,0.7241270819123892,0.7940524960946954
ANKRD9,0.33284460187894654,0.2547755930031755,0.5697814302045535,0.20084178565928143,0.13852236474445007,0.3210402411388088,0.7322097903145216,0.32887417218543047,1.0,0.2825973617980472,0.3103944907702801,0.2815106378297507
SIRPD,0.5490054607890722,0.4722116513587523,0.4621400347087497,0.4623610652714506,0.47647789810268676,0.5064867369977119,0.2583725228530909,0.6224767585876781,0.2825973617980472,1.0,0.6500000907289131,0.6565062701726578
PLBD1,0.5602798618292226,0.5297813684670332,0.48779763789185643,0.5932239114650942,0.5880671492376406,0.6152304679765022,0.25682327511547137,0.7241270819123892,0.3103944907702801,0.6500000907289131,1.0,0.7674889441376427
PLXDC2,0.550096147499505,0.540933622877864,0.547151547131295,0.6832153307958021,0.6681709973377924,0.4509977778266705,0.24323510540583954,0.7940524960946954,0.2815106378297507,0.6565062701726578,0.7674889441376427,1.0
