cohort_id,gene,effect_size,log2fc,pvalue,n_prog,n_nonprog
GSE107994,AAAS,-0.1054363837211603,-0.0065911999435757,0.5440699134624702,53,122
GSE107994,AACS,-0.9045148176178448,-0.1040263803323675,1.6778132245811853e-05,53,122
GSE107994,AAGAB,0.799673246326638,0.0391121401559937,2.215794842313685e-05,53,122
GSE107994,AAK1,-1.3569543822987,-0.0705663365569684,4.1276047552506965e-11,53,122
GSE107994,AAMP,-0.0630952967985575,-0.0029424220643861,0.700292366800281,53,122
GSE107994,AARS2,-1.2919374283120637,-0.1531378072249154,2.8211263794070758e-08,53,122
GSE107994,AASDH,-0.5408754656952649,-0.1225317444104894,0.0040123366562176,53,122
GSE107994,AASDHPPT,-0.5642444783820355,-0.1608559516540593,0.0029172756948368,53,122
GSE107994,AATF,0.8857474007106895,0.0556197369238939,1.7856882798372462e-05,53,122
GSE107994,AATK,0.0527222202595804,0.0056420420523255,0.7596919590870015,53,122
GSE107994,ABAT,-0.3398259170158361,-0.040645868276298,0.0336350049916963,53,122
GSE107994,ABCA1,0.574373336264345,0.1701861711106063,0.0003379600220232,53,122
GSE107994,ABCA2,0.3489704852502621,0.0233228454707639,0.0621825989061131,53,122
GSE107994,ABCA3,-0.5808067297930836,-0.0810161597679517,0.0019414139429481,53,122
GSE107994,ABCA5,-1.1084713645653608,-0.3212446573931928,3.2601881904821905e-07,53,122
GSE107994,ABCA7,0.5526270600955318,0.0432944850461587,0.0033652124014934,53,122
GSE107994,ABCB1,-1.2513149671235189,-0.5555055017689807,7.569824287502246e-08,53,122
GSE107994,ABCB10,-0.741553289672508,-0.2378903468060542,0.0003044388373311,53,122
GSE107994,ABCB4,-0.8661358242751944,-0.4472088842989817,6.638849630861975e-07,53,122
GSE107994,ABCB7,-0.6226065897303771,-0.0521186535932787,0.0019774184810274,53,122
GSE107994,ABCB8,-0.2234139181140194,-0.0154034626445231,0.1947784522237529,53,122
GSE107994,ABCB9,-0.1539657004902192,-0.0313179593353032,0.3729400278171978,53,122
GSE107994,ABCC1,-0.7245713337849136,-0.038433357606618,0.0002844925661995,53,122
GSE107994,ABCC10,-0.420006469303303,-0.0258818160074056,0.0198734361498508,53,122
GSE107994,ABCC2,0.1047349728561068,0.0399783441649339,0.5277230835322702,53,122
GSE107994,ABCC3,0.8914966215783312,0.1448149606984512,2.7271616743344684e-08,53,122
GSE107994,ABCC4,0.4223967532544953,0.1246299290614918,0.0240515527804817,53,122
GSE107994,ABCC5,-1.0050317331452767,-0.1053527679141521,3.164982548986996e-06,53,122
GSE107994,ABCC6,0.3997854792981627,0.1221374823747309,0.0232382287216604,53,122
GSE107994,ABCD1,1.374488849029088,0.1193641414106219,3.0647353959331507e-12,53,122
GSE107994,ABCD2,-0.9766720789298357,-0.4862255382685375,1.391603955353806e-10,53,122
GSE107994,ABCD3,-0.6964409614657392,-0.2530070087617806,0.0009169675510875,53,122
GSE107994,ABCD4,-0.6967838959575721,-0.039649892480372,0.0001133601617386,53,122
GSE107994,ABCE1,-1.018450839426881,-0.3125125589870048,1.2405082587498442e-05,53,122
GSE107994,ABCF1,0.0178282704392228,0.0009086540921448,0.9197828841779044,53,122
GSE107994,ABCF2,-0.7332171890428832,-0.0451396848736713,0.0001337081771833,53,122
GSE107994,ABCF3,-0.0090376518031903,-0.0004246709268351,0.9586230381334856,53,122
GSE107994,ABCG1,0.0865124800257303,0.0118550264854477,0.6517183506772998,53,122
GSE107994,ABHD10,-0.03335212544395,-0.0028420087457616,0.84930844556387,53,122
GSE107994,ABHD11,0.5982567952322572,0.0746832961766497,0.0020036968733542,53,122
GSE107994,ABHD12,0.4977480778776419,0.0434743120359142,0.0037539074404739,53,122
GSE107994,ABHD13,-0.0393599928141576,-0.0087500269237601,0.8045502047942604,53,122
GSE107994,ABHD14A,-0.3973868434097117,-0.1052625338231449,0.0369950630258219,53,122
GSE107994,ABHD14B,-0.431420044265057,-0.0345205593096911,0.0137878895660737,53,122
GSE107994,ABHD15,-0.9611813344192716,-0.1202756365336461,4.02970653371012e-05,53,122
GSE107994,ABHD16A,-0.071535431301958,-0.0278033930331806,0.6887771591514091,53,122
GSE107994,ABHD2,0.6717234031541983,0.0499007579208332,2.865371826243259e-05,53,122
GSE107994,ABHD3,0.1838602822523391,0.029872235773714,0.2985140116854988,53,122
GSE107994,ABHD4,0.4955621945578334,0.0312368392943067,0.003822537679647,53,122
GSE107994,ABHD5,0.1035456431732367,0.0109488869650178,0.5009364821016944,53,122
GSE107994,ABHD6,-0.8169521933504761,-0.1836078428866188,0.000483312698971,53,122
GSE107994,ABHD8,0.8854207934370181,0.0868128615543808,3.380849970577511e-07,53,122
GSE107994,ABI1,-0.1596472033312587,-0.0181412071251503,0.3885598115042341,53,122
GSE107994,ABI2,-0.8909705719083,-0.1475752526947862,3.1408061769043e-05,53,122
GSE107994,ABI3,0.6074195454029673,0.050911201464054,0.0002295333132981,53,122
GSE107994,ABL1,-1.0040394965343509,-0.0866051827934009,1.2218172478416027e-06,53,122
GSE107994,ABL2,-0.3310701768371117,-0.0334849851048812,0.0848439742592857,53,122
GSE107994,ABLIM1,-1.650442227188967,-0.1834598028725587,1.515478157300229e-11,53,122
GSE107994,ABLIM3,1.0541558004956082,0.2452239553220909,1.0138701233877635e-09,53,122
GSE107994,ABR,0.5678672612001296,0.0228545168303369,0.0006181324920394,53,122
GSE107994,ABT1,-0.6621075033317323,-0.0270086153268445,0.0001874831921536,53,122
GSE107994,ABTB1,0.7662939976195549,0.0519588580712477,2.9715872656807648e-05,53,122
GSE107994,ABTB2,-0.4519504274668931,-0.1764998690189738,0.0204538251855826,53,122
GSE107994,ACAA1,1.1402992564935417,0.0695859784593899,2.5507770193780097e-08,53,122
GSE107994,ACAA2,-0.1020730391275262,-0.0083140973157962,0.5500140989034078,53,122
GSE107994,ACACA,-0.4025691571883044,-0.0430698222933636,0.0465836349904992,53,122
GSE107994,ACACB,-1.2143716920223775,-0.251064653752205,6.178184832594651e-07,53,122
GSE107994,ACAD10,0.6198658072790776,0.0323999002885972,0.0005214161385942,53,122
GSE107994,ACAD8,-1.1125794424333693,-0.0778110371735638,4.8822574248717953e-08,53,122
GSE107994,ACAD9,-0.3666093498772613,-0.0389771216133234,0.0128038886511065,53,122
GSE107994,ACADM,-0.7853196364281803,-0.2925852516581739,0.0001778834538417,53,122
GSE107994,ACADS,0.4112320922824206,0.045449223046194,0.0229977505494383,53,122
GSE107994,ACADSB,-1.1410707114925966,-0.323622456395831,2.0517665228186545e-07,53,122
GSE107994,ACADVL,0.7339198607818878,0.0344365943407236,4.868708090244718e-05,53,122
GSE107994,ACAP1,0.3258806377759859,0.0191679330204745,0.0785208706376848,53,122
GSE107994,ACAP2,-0.0852803734387885,-0.0116089656790263,0.6094176265464764,53,122
GSE107994,ACAP3,-0.0579670052146443,-0.0035904080436122,0.7231250961163429,53,122
GSE107994,ACAT1,-0.0495561527276109,-0.0051622062918368,0.7721341205940513,53,122
GSE107994,ACAT2,-0.5415117577948809,-0.0411612017428972,0.0028399366641105,53,122
GSE107994,ACBD3,-0.7206520527833565,-0.1921905939552461,0.0004768736575623,53,122
GSE107994,ACBD4,-0.5260660670244,-0.0589911041173505,0.0011981837267099,53,122
GSE107994,ACBD5,-0.3383099072705152,-0.0686558881595387,0.0634759096798219,53,122
GSE107994,ACBD6,-1.01922879112989,-0.0860989971984249,5.412822464982725e-07,53,122
GSE107994,ACCS,0.1935256561087787,0.0368942577579725,0.3114582722285952,53,122
GSE107994,ACD,-0.1991655740040235,-0.0144699834636066,0.2282455592637208,53,122
GSE107994,ACE,-0.4457602585166272,-0.2001192785256684,0.0168770518435349,53,122
GSE107994,ACER3,1.3173192303182917,0.1843201951409772,6.186546428527595e-12,53,122
GSE107994,ACIN1,0.7344846605106883,0.0231175733623723,6.013265389904742e-05,53,122
GSE107994,ACLY,-0.6005515409178532,-0.0375987436796361,0.0012856708080163,53,122
GSE107994,ACO1,-0.4796691576919165,-0.0583622236269552,0.0147897064723378,53,122
GSE107994,ACO2,0.5878645720699176,0.026963488120983,0.0004050772457524,53,122
GSE107994,ACOT11,-0.4557317580178173,-0.2592514197731417,0.0120402006708256,53,122
GSE107994,ACOT13,1.1927914085255698,0.128724760273968,6.4255524569415355e-09,53,122
GSE107994,ACOT2,-0.7092769665552956,-0.3097380192364578,0.0009138250231165,53,122
GSE107994,ACOT4,-0.7471554680985614,-0.3310394663998045,2.4760570774562305e-06,53,122
GSE107994,ACOT7,0.8556272290621838,0.1355746957742098,7.484326833237823e-06,53,122
GSE107994,ACOT8,1.255586081974464,0.102304451012003,8.793328651046107e-09,53,122
